Key,Text
GAME_START,"The gate creaks behind you. You are inside now.|The town does not look abandoned from here.|It looks like it has been waiting."
MOVE_NEW_ROOM,"You step through into {roomName} and take a moment to let your eyes adjust."
MOVE_VISITED_ROOM,"You are back in {roomName}."
NO_EXIT,"There is nothing that way. The wall has no intention of becoming a door."
EXPLORE_EMPTY,"You look around carefully. The room offers nothing new."
PICKUP_OK,"You take the {itemName} and add it to your inventory."
PICKUP_FULL,"You reach for the {itemName} but your hands are already full. Drop something first."
ITEM_USE_FAIL,"You cannot use that item right now."
STATUS_EXPIRE,"The {effectName} fades. You feel marginally more like yourself."
COMBAT_FIRST,"Something in this town wants you gone.|It has decided to be direct about it."
MONSTER_START_GENERIC,"You square up against {monsterName}."
MONSTER_DEATH_GENERIC,"The {monsterName} falls. The room exhales."
BARRICADE_FLEE,"The Poltergeist FLEES through the {direction} exit and barricades it shut!"
PUZZLE_FAIL_DAMAGE,"The puzzle crumbles. You lose 5 HP."
DEATH_HEADER,"--- YOU HAVE FALLEN ---"
DEATH_CAUSE_COMBAT,"Your vision blurs. The cold seeps into your bones."
DEATH_CAUSE_PUZZLE,"The puzzle's punishment tears through you."
ESCAPE_1,"You press the brass key into the rusted lock of the front gate."
ESCAPE_2,"The tumblers grind. The gate swings open with a groan."
ESCAPE_3,"Cold air rushes in from outside. Real air. Living air."
ESCAPE_4,"You step through. You do not look back."
ESCAPE_WIN,"--- YOU ESCAPED ---"
CLEANSE_1,"The last of them falls."
CLEANSE_2,"The wailing stops. The shadows recede. The cold lifts from the air."
CLEANSE_3,"Something ancient and wrong has been driven out of this town."
CLEANSE_WIN,"--- CLEANSE ENDING ---"
QUIT_CONFIRM,"Leave the town? Your progress will be lost if you have not saved."
