ItemID,Name,Description,Item Type,Rarity,Location,RoomID,Benefits,Weaknesses,PickedUp
I01,Rusting Armor,A worn-out suit of armor that provides basic protection.,Armor,Common,Graveyard,GY-01,+10 DEF,None,false
I02,Police Armor,A standard-issue police vest offering moderate defense.,Armor,Rare,Mayor,TH-02,+25 DEF,None,false
I03,Military Armor,Heavy military-grade armor for maximum protection.,Armor,Legendary,Office,GS-03,+45 DEF,None,false
I04,Health Potion,A small vial of red liquid that restores health.,Consumable,Common,Bell Tower,CH-03,+25 HP,None,false
I05,Health Potion,A small vial of red liquid that restores health.,Consumable,Common,Guard Post,GH-02,+25 HP,None,false
I06,Jack Daniel’s,A bottle of whiskey that boosts defense but harms health.,Consumable,Rare,Bar,SL-01,+50 DEF for one turn,-10 HP,false
I07,Hearty Meal,A nutritious meal that significantly restores health.,Consumable,Epic,Kitchen,SL-02,+50 HP,None,false
I08,Health Potion,A small vial of red liquid that restores health.,Consumable,Common,Meeting,TH-01,+25 HP,None,false
I09,Prison Key,A key that unlocks the prison cells.,Key Item,Mythical,Church Path,RD-03,Unlocks Guard Tower,None,false
I10,Poker Chips,Chips used for gambling puzzles.,Key Item,Mythical,Cells,GH-03,Gambling Puzzle,None,false
I11,Office Keys,Keys to access restricted office areas.,Key Item,Mythical,Records,TH-03,Office Key,None,false
I12,Crude Dagger,A basic dagger for close combat.,Melee Weapon,Uncommon,Confessional,CH-04,+5 ATK DMG,None,false
I13,Steel Sword,A sharp sword made of steel.,Melee Weapon,Rare,Cellar,SL-04,+20 ATK DMG,None,false
I14,Assassin's Dagger,A deadly dagger with special effects.,Melee Weapon,Legendary,Living,GS-04,+35 ATK DMG; Causes Monster’s Next Attack to Miss,Endgame Weapon,false
I15,Crossbow,A ranged weapon that shoots bolts.,Ranged Weapon,Epic,Armory,GH-04,+15 DMG,10% Miss Chance,false
I16,‘Old Reliable’ Shotgun,A powerful shotgun for ranged attacks.,Ranged Weapon,Legendary,Storage,GS-02,+35 DMG,5% Miss Chance,false
