PuzzleID,PuzzleType,RoomID,PuzzleName,NarrativeText,Solution,MaxAttempts,SuccessMessage,FailureMessage,Hint,ExtraData,Solved
P01,SCRAMBLE,TH-01,Scramble,"In the room you see a bunch of blocks on the ground with letters on them. They are very colorful and have the letters on big blocks. It seems like this is a hard puzzle to solve.",SPOOKY,2,"Wow I am smarter than I thought.","Welp my ghost degree was useless.","The spirits here love to frighten. What is the one word that best describes their nature? Six letters. Two of them are the same.",P|K|Y|O|O|S,false
P02,NUMBER_GUESS,CH-02,Random Number,"On the wall I see a bunch of numbers written in blood. They are numbered 1 to 5. Guess the correct number.",RANDOM,2,"Yes I'm happy I know my numbers better.","Dang my guessing skills need some work.","The answer bleeds from this very wall. Five numbers stare back at you. The spirits demand one choice and one choice only. It is a single number. It is between 1 and 5.",1|5,false
P03,RPS,GH-01,Rock Paper Scissors,"AHHHHH A ghost has shown up in front of me. It is making a scissor shape for its hand. It is trying to tell me to play.",ROCK,2,"HAHAHA I am better than you fiendish ghost","WHY AM I SO BAD AT PUZZLES TODAY","The ghost has already revealed its hand to you. Study it carefully before you choose yours. Something blunt and heavy tends to silence something sharp.",SCISSORS,false
P05,CARD_POKER,SL-01,Poker,"I went inside the saloon and I sat at the poker table expecting nothing to happen. But I was strapped to the seat and now I have to play.",HIGHER,2,"IM ALL IN","IM ALL OUT OF MONEY","The ghost holds its card close. Draw yours from what remains in the deck. Should your number stand taller than the ghost's when both are revealed the spirits will release you from this chair.",STANDARD,false
P06,CARD_DICE,SL-03,Dice Roll,"I went inside the saloon and found a bunch of imps shooting dice. They called to me wanting me to join them.",6,2,"Out of the 6 the 1 is me.","Man these dice were just bad dice.","The imps will accept nothing less than perfection. On a die with six faces only one stands above all others. The highest face is the only face that will satisfy them.",6,false
P07,RIDDLE,GS-02,Ghost Riddle,"An ethereal ghost appeared in front of me and said in a terrifying voice:",GHOST,2,"It seems that a ghost was no match for my brain.","My brain seems to be more empty than a being that has no physical form.","This creature needs no body no breath and no heartbeat. You have likely already met one today.",I come out at night|I vanish by day|In haunted houses I love to stay.|What am I?,false
P08,RIDDLE,GY-01,Vampire Riddle,"I went to the graveyard and then I saw a coffin that was above ground. There was a sign written by it saying:",VAMPIRE,2,"Dont come out of the coffin now and suck my blood now. Stay in there..","Dang it now I have to find a stake now","This creature has walked the earth far longer than the town itself. It avoids sunlight and avoids mirrors. It sleeps in the box you found it near.",I don't breathe|I don't sleep|Through silent halls I slowly creep.|No reflection shows my face|In mirrors I leave no trace.|Who am I?,false
P09,RIDDLE,CH-04,Shadow Riddle,"I walked into the church and I heard a voice in the dark corner. It said:",SHADOW,2,"The darkness can never win while I'm in the light.","The darkness swallowed me. I have been engulfed. I am drowning in an indescribable emptiness.","It clings to your feet in sunlight. It stretches across the walls of this very room. You cannot shake it and you cannot fight it. But walk into true darkness and it vanishes entirely.",I follow you but never lead|In darkness I grow with speed.|I'm not alive but look like you.|What am I?,false
P10,RIDDLE,RD-02,Wind Riddle,"I was walking to another building when the air started getting colder and started blowing everywhere and then a voice coming from all sides said:",WIND,2,"No breeze shall have dominion over me.","I was beaten by a giant fart. How unsightly.","It is not a spirit. It is not alive. It has no will no hunger and no malice. But on a night like this one you have felt it on your skin every time you stepped outside.",I knock with no hands|I cry with no eyes|I move without feet|And love midnight skies.|What am I?,false
P11,SELECTION,GS-04,Front Gate Key,"I see 3 shiny pieces of metal in 3 different zombie mouths. One looks to be iron. One looks to be brass. One looks to be gold.",BRASS,2,"I shall not be turned into a brain eater today.","It seems that I need to consume brains because of how stupid I am.","Not the grandest and not the humblest. The old gatekeepers trusted what would not rust and would not crumble. Iron bleeds and gold tempts but one of these has kept its secrets for centuries without complaint.",iron|brass|gold,false
P12,PICKUP,RD-03,Prison Key,"I walked into the church path and found a key resting beneath a skeleton.",NONE,0,"","","",Prison Key,false
P13,PICKUP,SL-04,Poker Chips,"I wandered into the cellar and found something unexpected when I looked closer at the floor.",NONE,0,"","","",Poker Chips,false
P14,PICKUP,TH-03,Office Keys,"I walked into the records room and found a key tucked inside an old folder.",NONE,0,"","","",Office Keys,false
